giriftaarii,giriftaarii|giriftaarii-e
;xizaanii,;xizaanii-e
((umr,((umr|((umr-e|((umr-o-asad
be-;xvudii,be-;xvudii|be-;xvudii-e
.sifaat,.sifaat
ganj,ganj'haa-e
((aalii,((aalii
.sile,.sile
:tayuur,:tayuur
i;htiyaa:t,i;htiyaa:t
((aliih,((aliih
((aashiqii,((aashiqii
aur,aur
qada;h,shiishah-o-qada;h-o-kuuzah-o-sabuu
mizhah,mizhah|mizhah'haa-e|mizhah-e
((aqiidah,((aqiidah
i;xtilaa:t,i;xtilaa:t
taab-o-tuvaa;n,taab-o-tuvaa;n
tapiidan,tapiidan
lahuu,lahuu
;gaafil,;gaafil
.saiyaad,.saiyaad
.sadmah,.sadmah-e
((anbarii;n,((anbarii;n
pusht-garmii,pusht-garmii-e
((ibrat,((ibrat|((ibrat-e
aatish-parast,aatish-parast
dil,((aql-o-dil-o-jaa;n|dil|dil'haa-e|dil-e
((ayaar,((ayaar-e
((araq,((araq|((araq-e
.sar.sar,.sar.sar|.sar.sar-e
.saf,.saf-e
berab:tii,berab:tii-e
taqdiir,taqdiir
gul,gul|gul'haa-e|gul-e|gulhaa-e
((aks,((aks|((aks-e
anaa,anaa
ba((iid,ba((iid
((arsh,((arsh
naa-tamaamii,naa-tamaamii|naa-tamaamii-e
dil-farebii,dil-farebii-e
aab-juu,aab-juu
rafuu,rafuu
akbar,akbar
:tannaaz,:tannaaz
aatishii;n,aatishii;n
.sul;h,.sul;h
saadagii,saadagiihaa-e
suu,suu|suu-e
((azm,((azm-e
;gaflat-shi((aarii,;gaflat-shi((aarii
.saiqal,.saiqal|.saiqal-e
raqam,raqam
arzaanii,arzaanii|arzaanii-e
ta;hriir,ta;hriir
tundii,tundii-e
.saa((iqah-o-shu((lah-o-siimaab,.saa((iqah-o-shu((lah-o-siimaab
((alaavah,((alaavah
bad-mastii,bad-mastii-e
chaahnaa,chaahaa|chaahe|chaahe;n|chaahne|chaahne-vaalaa|chaahtaa|chaahte|chaahuu;n
taaliif,taaliif-e
.sanam-kadah,.sanam-kadah
faryaadii,faryaadii|faryaadii-e
ravish,:tarz-o-ravish
navaa,navaahaa-e
be-raunaqii,be-raunaqii|be-raunaqii-e
tamaam,tamaam
chaarah-saazii,chaarah-saazii-e
kashaakash,kashaakash|kashaakash'haa-e|kashaakash-e
numuu,numuu
aazaadii,aazaadii|aazaadii-e
jalvah,jalvah|jalvah'haa-e|jalvah-e
.zab:t,.zab:t|.zab:t-e|tamkiin-o-.zab:t
.zu((f,.zu((f|.zu((f-e
talaash,talaash-e
aatish-afshaanii,aatish-afshaanii
navaazish,navaazish|navaazish'haa-e
kotaahii,kotaahii-e
tamaashaa,tamaashaa|tamaashaa-e
mazduurii,((ishq-o-mazduurii-e
((aari.z,((aari.z|((aari.z-e
suud,suud|suud-e
tadbiir,tadbiir
duurii,duurii-e
baadah-noshii,baadah-noshii|baadah-noshii-e
buraa))ii,buraa))ii
justajuu,justajuu
zabuunii,zabuunii-e
bad-gumaanii,bad-gumaanii|bad-gumaanii-e
:tuufaanii,:tuufaanii-e
sitam,sitamhaa-e
just-juu,just-juu
((aqd,((aqd-e
:zulmat-gustarii,:zulmat-gustarii
((aql,((aql|((aql-o-dil-o-jaa;n
((ishq,((ishq|((ishq-e|((ishq-o-mazduurii-e|((ishq-o-naa-guziir-e
rab:t,rab:t
gul-fishaanii,gul-fishaaniihaa-e
:zulm,:zulm
jaam-o-subuu,jaam-o-subuu
tab,tab|tab-e
:tabii((ii,:tabii((ii
((ishrat,((ishrat|((ishrat-e
tan,tan|tan-e
mara.z,mara.z
tah,tah-e
tak,tak
:tab((a,:tab((a
tishnagii,tishnagii-e
naa-kaamii,naa-kaamii|naa-kaamii-e
vaa((i:z,vaa((i:z
((ilaaj,((ilaaj
((adaalat,((adaalat-e
talak,talak
.sahbaa,.sahbaa|.sahbaa-e
((iid,((iid|((iid-e
paarah,paarah'haa-e|paarah-e
chaman-o-;xuubii,chaman-o-;xuubii-e
;xa:t,;xa:t
chaman-:taraazii,chaman-:taraazii-e
.su;hbat,.su;hbat|.su;hbat-e
((anbar-baar,((anbar-baar-e
takliif,takliif-e
;xuu,;xuu
suruur,suruur-e|suruur-o-soz
ranjuur,ranjuur
korii,korii-e
tale,tale
bad-;xuu,bad-;xuu
pai;gaarah-juu,pai;gaarah-juu
.sabr-:talab,.sabr-:talab
ta((n,ta((n
((a;zaab,((a;zaab
;gaalib,;gaalib|;gaalib-e
mu;gannii,mu;gannii-e
((inaayat,((inaayat
((arbadah-maidaa;n,((arbadah-maidaa;n
:zarf,:zarf|:zarf-e
cha;rhnaa,cha;rh|cha;rhii
az-baskih,az-baskih
varaq-gardaanii,varaq-gardaanii-e
tamaashaa))ii,tamaashaa))ii|tamaashaa))ii-e
baazuu,baazuu|dast-o-baazuu
baat,baat
bisaa:t,bisaa:t
((ushshaaq,((ushshaaq
:taraavat,:taraavat|:taraavat-e
guhar,guharhaa-e
fasaanah-;xvaanii,fasaanah-;xvaanii-e
.sadaa,.sadaa|.sadaa-e
.sadaf,.sadaf-e
guftaguu,guftaguu
taqliid,taqliid-e
qar.z,qar.z
pursish,pursish|pursish'haa-e|pursish-e
((ibrat-nigaah,((ibrat-nigaah
diivaanagii,diivaanagii|diivaanagii-e
ravaanii,ravaanii|ravaanii-e
fai.z,fai.z
saaqii,saaqii|saaqii-e
.suurat,.suurat|.suurat-e
((iis;aa,((iis;aa
zaanuu,zaanuu
ulfa:t,ulfa:t|ulfa:t'haa-e
:taaqat-rubaa,:taaqat-rubaa
((ar.z,((ar.z|((ar.z-e
:zuhuurii,:zuhuurii
:tarab-inshaa,:tarab-inshaa-e
gesuu,qad-o-gesuu
((adaavat,((adaavat|((adaavat-e
guftguu,guftguu
aahuu,aahuu
rashk,rashk|rashk-e
baaz,baaz
ta;hammul,ta;hammul
((aish-o-jaah,((aish-o-jaah
guluu,guluu
((iimaa,((iimaa-e
;gaib,;gaib|;gaib-e
chashmak,chashmak'haa-e
jalvah-rezii,jalvah-rezii-e
ashyaa,ashyaa
tal;xii,tal;xii-e
;gair,;gair|;gair-e
mihrbaanii,mihrbaaniihaa-e
zindaanii,zindaanii-e
.sad,.sad
zabaa;n,zabaa;nhaa-e
tafriqah,tafriqah
:ta((nah,:ta((nah|:ta((nah-e
.sarfah,.sarfah
:zaalim,:zaalim
baaqii,baaqii
((aalam,((aalam|((aalam-e
ravaa;n,ravaa;n
aavaaz,aavaaz
ravish-o-mastii,ravish-o-mastii-e
taq.siir,taq.siir
tamkiin-o-.zab:t,tamkiin-o-.zab:t
rast;xez-andaazah,rast;xez-andaazah
:taa((at-o-zuhd,:taa((at-o-zuhd
.suurate;n,.suurate;n
((aalam-aaraa))ii,((aalam-aaraa))ii
((izz-o-naaz,((izz-o-naaz
:tuufaa;n-gaah,:tuufaa;n-gaah-e
.zauq,.zauq-e
;gaarat-garii,;gaarat-garii
((uryaanii,((uryaanii
taazah-vaaridaan,taazah-vaaridaan-e
tahiiyah,tahiiyah-e
la;z;zat,la;z;zat|la;z;zat'haa-e|la;z;zat-e
:tuul,:tuul
aatish-nafas,aatish-nafas
