urdu,transliteration,count
موجے شراب,mauj-e sharaab,14
جلوہے گال,jalvah-e gul,7
حالے دال,;haal-e dil,3
خاونے جاگر,;xuun-e jigar,3
چاکے گریبان,chaak-e garebaa;n,3
پاےمانے وفا,paimaan-e vafaa,3
تارے باستر,taar-e bistar,3
جاوے خاون,juu-e ;xuu;n,3
کفے ساےلاب,kaf-e sailaab,3
نالہے دال,naalah-e dil,3
شبے غم,shab-e ;gam,3
داغے دال,daa;g-e dil,3
نقشے قدم,naqsh-e qadam,3
نکہتے گال,nak'hat-e gul,3
ہلے بایناش,ahl-e biinish,2
غمے راوزگار,;gam-e rozgaar,2
زخمے جاگر,za;xm-e jigar,2
لختے جاگر,la;xt-e jigar,2
موجے رنگ,mauj-e rang,2
موجے ماے,mauj-e mai,2
سرے نو,sar-e nau,2
ترکے وفا,tark-e vafaa,2
دایدہے حاےران,diidah-e ;hairaa;n,2
تنگایے دال,tangii-e dil,2
نقشے پا,naqsh-e paa,2
خانہے ائاینہ,;xaanah-e aa))iinah,2
خامے ماے,;xum-e mai,2
نالہے بالبال,naalah-e bulbul,2
سبزہے خط,sabzah-e ;xa:t,2
جذبہے دال,ja;zbah-e dil,2
وقتے سفر,vaqt-e safar,2
سنگے استان,sang-e aastaa;n,2
چشمے تر,chashm-e tar,2
دمے تحرایر,dam-e ta;hriir,2
غمے عاشق,;gam-e ((ishq,2
ہلے جہان,ahl-e jahaa;n,2
باتے ائانہ سایما,but-e aa))inah-siimaa,2
ماشتے خاک,musht-e ;xaak,2
کاوے یار,kuu-e yaar,2
زخمے ساوزن,za;xm-e sozan,2
غمے پانہان,;gam-e pinhaa;n,2
شاکستے ارزاو,shikast-e aarzuu,2
شبے مہ,shab-e mah,2
جوہرے ائانہ,jauhar-e aa))inah,2
عامرے خاضر,((umr-e ;xi.zr,2
ناگہے ناز,nigah-e naaz,2
طاقتے دایدار,:taaqat-e diidaar,2
قطرہے خاون,qa:trah-e ;xuu;n,2
حسرتے دایدار,;hasrat-e diidaar,2
خندہے دندان ناما,;xandah-e dandaa;n-numaa,2
خندہہاے گال,;xandah'haa-e gul,2
رگے جان,rag-e jaa;n,2
داغے جاگر,daa;g-e jigar,2
خاونے دال,;xuun-e dil,2
بلاے جان,balaa-e jaa;n,2
دعویٰے وا رستگای,da((v;aa-e vaa-rastagii,2
تنگایے جا,tangii-e jaa,2
جامہے حرام,jaamah-e a;hraam,2
ناگہے گرم,nigah-e garm,2
بزمے خیال,bazm-e ;xayaal,2
پیشے نظر,pesh-e na:zar,2
گاوشہے باساط,goshah-e bisaa:t,2
بزمے ماے,bazm-e mai,2
وعدہے صبر ازما,va((dah-e .sabr-aazmaa,2
موجے خاون,mauj-e ;xuu;n,2
اغاوشے واداع,aa;gosh-e vidaa((,2
بانے ماو,bun-e muu,2
ماژہے یار,mizhah-e yaar,2
جادہے رہ,jaadah-e rah,2
عاشاقے بایمار,((aashiq-e biimaar,1
ماناندے صابحوماہر,maanind-e .sub;h-o-mihr,1
سامانے واجاود,saamaan-e vujuud,1
نقشے ماحبّت,naqsh-e mu;habbat,1
زبانایے شمع,zabaanii-e sham((a,1
نبضے جاگر,nab.z-e jigar,1
دایارے غاےر,diyaar-e ;gair,1
طوافے کاوے ملامت,:tavaaf-e kuu-e malaamat,1
رہورسمے ثواب,rah-o-rasm-e ;savaab,1
اخفاے حال,i;xfaa-e ;haal,1
حاضاورے شاہ,;hu.zuur-e shaah,1
ماحایطے گاریہولب,mu;hii:t-e giryah-o-lab,1
وا شادے گال,vaa-shud-e gul,1
لخّتے سنگ,la;z;zat-e sang,1
ماے کدہے بی خراوش,mai-kadah-e be-;xarosh,1
طاومارے ناز,:tuumaar-e naaz,1
عاقدہے ماشکال,((uqdah-e mushkil,1
ناشاطے کار,nishaa:t-e kaar,1
در خوارے قہروغضب,dar-;xvur-e qahr-o-;ga.zab,1
دالے نا عاقابت ندیش,dil-e naa-((aaqibat-andesh,1
سازے صداے اب,saaz-e .sadaa-e aab,1
دہانے زخم,dahaan-e za;xm,1
وصفے ازادای,va.sf-e aazaadii,1
لخّتے خوابے سحر,la;z;zat-e ;xvaab-e sa;har,1
شاعلہے اتاش,shu((lah-e aatish,1
دریاے معاصای,daryaa-e ma((aa.sii,1
چاراغے روشن,chiraa;g-e raushan,1
انتاظارے ساغر,inti:zaar-e saa;gar,1
خطّے جامے ماے,;xa:t:t-e jaam-e mai,1
گارافتارے چمن,giriftaar-e chaman,1
شکلے قامرای,shakl-e qumrii,1
شاوخایے ندیشہ,sho;xii-e andeshah,1
پاےکرے تصوایر,paikar-e ta.sviir,1
حسبے گرداشے پاےمانہے صافات,;hasb-e gardish-e paimaanah-e .sifaat,1
رگے گردن,rag-e gardan,1
اتاشے گال,aatish-e gul,1
ساغرے سرشارے داوست,saa;gar-e sarshaar-e dost,1
فساونے انتاظار,afsuun-e inti:zaar,1
ماثلے نقشے مادّعاے غاےر,mi;sl-e naqsh-e mudda((aa-e ;gair,1
حاجتے رفاو,;haajat-e rafuu,1
ناسخہے مرہم,nus;xah-e marham,1
بارّاشے تیغے جفا,burrish-e te;g-e jafaa,1
جاگر تاشنہے فریاد,jigar-tishnah-e faryaad,1
حاناے پاے خازان,;hinaa-e paa-e ;xizaa;n,1
دست گاہے دایدہے خاون بارے مجناون,dast-gaah-e diidah-e ;xuu;n-baar-e majnuu;n,1
شاوخایے تحرایر,sho;xii-e ta;hriir,1
دالودستے شانا,dil-o-dast-e shinaa,1
چشمکہاے لاےلیٰ,chashmak'haa-e lail;aa,1
دالے گاداختہ,dil-e gudaa;xtah,1
تسبایحے مرجان,tasbii;h-e marjaa;n,1
داے خاص,adaa-e ;xaa.s,1
طرزے ہلے فنا,:tarz-e ahl-e fanaa,1
بردے لایالای,bard-e liyaalii,1
چاراغے ماردہ,chiraa;g-e murdah,1
ندازے بہ,andaaz-e bah,1
حضرتے یاوساف,;ha.zrat-e yuusuf,1
تہاییہے طاوفان,tahiiyah-e :tuufaa;n,1
ساےلابے گاریہ,sailaab-e giryah,1
ساوے غاےر,suu-e ;gair,1
نافے غزال,naaf-e ;gazaal,1
