urdu,transliteration,count
ہاونا,honaa,1723
کا,kaa,560
سی,se,511
مین,me;n,491
نہ,nah,416
کاہ,kih,388
کاو,ko,371
کای,kii,296
کرنا,karnaa,296
ہاو,ho,290
نہاین,nahii;n,288
ماےن,mai;n,285
جانا,jaanaa,277
کیا,kyaa,240
میرا,meraa,240
دال,dil,235
ہم,ham,200
بھای,bhii,186
واہ,vuh,186
تاو,to,174
یاہ,yih,165
انا,aanaa,157
اس,us,148
کہہنا,kahnaa,145
نی,ne,140
ہاونا,honaaa,137
جاو,jo,135
تیرا,teraa,133
پر,par,126
ور,aur,125
دیکھنا,dekhnaa,122
غالاب,;gaalib,112
کاوئای,ko))ii,109
دینا,denaa,102
کیاون,kyuu;n,100
ہای,hii,97
پہ,pah,94
بہ,bah,91
گر,gar,87
گال,gul,76
پھار,phir,75
پنا,apnaa,75
ہر,har,73
رہنا,rahnaa,72
ی,ay,70
اک,ik,68
کاس,kis,68
کاچھ,kuchh,66
تام,tum,61
غم,;gam,59
ہاوتا,hotaa,58
جاس,jis,56
سر,sar,55
گر,agar,55
عاشق,((ishq,51
یک,ek,50
ناز,naaz,48
مرنا,marnaa,46
نالہ,naalah,45
در,dar,44
دان,din,42
بننا,ban'naa,41
جب,jab,41
ماے,mai,40
کہہان,kahaa;n,40
سد,asad,39
ب,ab,39
رکھنا,rakhnaa,39
تاو,tuu,39
خیال,;xayaal,38
چاہایی,chaahiye,38
یار,yaar,38
جاگر,jigar,38
سہای,sahii,38
رنگ,rang,37
لینا,lenaa,37
وفا,vafaa,37
یاون,yuu;n,37
غاےر,;gair,36
جان,jaan,36
موج,mauj,36
ہمارا,hamaaraa,36
جلوہ,jalvah,35
خاک,;xaak,35
یان,yaa;n,35
ناکلنا,nikalnaa,34
یا,yaa,34
یاد,yaad,33
پاوچھنا,puuchhnaa,33
مالنا,milnaa,33
شوق,shauq,33
خادا,;xudaa,32
ناگاہ,nigaah,32
بات,baat,32
لایی,liye,31
یک,yak,31
چشم,chashm,31
زخم,za;xm,31
بزم,bazm,30
دایوار,diivaar,30
ان,un,30
جاننا,jaan'naa,30
گھر,ghar,29
سمجھنا,samjhnaa,29
کھالنا,khulnaa,29
وان,vaa;n,29
دم,dam,29
چّھا,achchhaa,28
داغ,daa;g,28
شب,shab,28
ہائی,haa))e,28
حسرت,;hasrat,28
تک,tak,28
پانا,paanaa,27
نظر,na:zar,27
بار,baar,27
اگی,aage,27
قدر,qadar,26
شراب,sharaab,26
ہل,ahl,26
اج,aaj,26
داوست,dost,26
جہان,jahaan,26
تاجھ,tujh,26
تماشا,tamaashaa,25
ہوا,havaa,25
خاون,;xuu;n,25
ذوق,;zauq,25
بہار,bahaar,24
تا,taa,24
مگر,magar,24
بات,but,24
پا,paa,23
پڑنا,pa;rnaa,23
قطرہ,qa:trah,23
جا,jaa,23
عامر,((umr,22
ائاینہ,aa))iinah,22
کبھای,kabhii,22
ہاتھ,haath,22
جاناون,junuun,22
حاسن,;husn,22
کام,kaam,22
درد,dard,22
دایدہ,diidah,22
لیکان,lekin,22
اٹھنا,u;thnaa,22
ورنہ,varnah,22
ہستای,hastii,22
لب,lab,21
رب,rab,21
رہ,rah,21
جلنا,jalnaa,21
چلنا,chalnaa,21
تمنّا,tamannaa,21
اےسا,aisaa,21
دریا,daryaa,20
پانو,paa;nv,20
اپ,aap,20
کھینچنا,khe;nchnaa,20
مانہ,mu;nh,20
اخار,aa;xir,19
